"population","relationship_type","sim_id","locus","loci_set","combined_LR"
"all","unrelated",4,"D2S1338","core_13",1
"all","unrelated",4,"D2S441","core_13",1
"all","unrelated",4,"D3S1358","core_13",1
"all","unrelated",4,"D5S818","core_13",1
"all","unrelated",4,"D6S1043","core_13",1
"all","unrelated",4,"D7S820","core_13",1
"all","unrelated",4,"D8S1179","core_13",1
"all","unrelated",4,"F13A01","core_13",1
"all","unrelated",4,"F13B","core_13",1
"all","unrelated",4,"FESFPS","core_13",1
"all","unrelated",4,"FGA","core_13",1
"all","unrelated",4,"LPL","core_13",1
"all","unrelated",4,"Penta_C","core_13",1
"all","unrelated",4,"Penta_D","core_13",1
"all","unrelated",4,"Penta_E","core_13",1
"all","unrelated",4,"SE33","core_13",1
"all","unrelated",4,"TH01","core_13",1
"all","unrelated",4,"TPOX","core_13",1
"all","unrelated",4,"vWA","core_13",1
"all","unrelated",5,"CSF1PO","core_13",1
"all","unrelated",5,"D10S1248","core_13",1
"all","unrelated",5,"D12S391","core_13",1
"all","unrelated",5,"D13S317","core_13",1
"all","unrelated",5,"D16S539","core_13",1
"all","unrelated",5,"D18S51","core_13",1
"all","unrelated",5,"D19S433","core_13",1
"all","unrelated",5,"D1S1656","core_13",1
"all","unrelated",5,"D21S11","core_13",1
"all","unrelated",5,"D22S1045","core_13",1
"all","unrelated",5,"D2S1338","core_13",1
"all","unrelated",5,"D2S441","core_13",1
"all","unrelated",5,"D3S1358","core_13",1
"all","unrelated",5,"D5S818","core_13",1
"all","unrelated",5,"D6S1043","core_13",1
"all","unrelated",5,"D7S820","core_13",1
"all","unrelated",5,"D8S1179","core_13",1
"all","unrelated",5,"F13A01","core_13",1
"all","unrelated",5,"F13B","core_13",1
"all","unrelated",5,"FESFPS","core_13",1
"all","unrelated",5,"FGA","core_13",1
"all","unrelated",5,"LPL","core_13",1
"all","unrelated",5,"Penta_C","core_13",1
"all","unrelated",5,"Penta_D","core_13",1
"all","unrelated",5,"Penta_E","core_13",1
"all","unrelated",5,"SE33","core_13",1
"all","unrelated",5,"TH01","core_13",1
"all","unrelated",5,"TPOX","core_13",1
"all","unrelated",5,"vWA","core_13",1
"AfAm","parent_child",1,"CSF1PO","core_13",2.00588235294118
"AfAm","parent_child",1,"D10S1248","core_13",1
"AfAm","parent_child",1,"D12S391","core_13",1
"AfAm","parent_child",1,"D13S317","core_13",1.1958041958042
"AfAm","parent_child",1,"D16S539","core_13",2.44285714285715
"AfAm","parent_child",1,"D18S51","core_13",2.92307692307693
"AfAm","parent_child",1,"D19S433","core_13",1
"AfAm","parent_child",1,"D1S1656","core_13",1
"AfAm","parent_child",1,"D21S11","core_13",4.88571428571428
"AfAm","parent_child",1,"D22S1045","core_13",1
"AfAm","parent_child",1,"D2S1338","core_13",1
"AfAm","parent_child",1,"D2S441","core_13",1
"AfAm","parent_child",1,"D3S1358","core_13",1.17931034482759
"AfAm","parent_child",1,"D5S818","core_13",0.678571428571428
"AfAm","parent_child",1,"D6S1043","core_13",1
"AfAm","parent_child",1,"D7S820","core_13",1.48695652173913
"AfAm","parent_child",1,"D8S1179","core_13",2.63076923076923
"AfAm","parent_child",1,"F13A01","core_13",1
"AfAm","parent_child",1,"F13B","core_13",1
"AfAm","parent_child",1,"FESFPS","core_13",1
"AfAm","parent_child",1,"FGA","core_13",9.77142857142856
"AfAm","parent_child",1,"LPL","core_13",1
"AfAm","parent_child",1,"Penta_C","core_13",1
"AfAm","parent_child",1,"Penta_D","core_13",1
"AfAm","parent_child",1,"Penta_E","core_13",1
"AfAm","parent_child",1,"SE33","core_13",1
"AfAm","parent_child",1,"TH01","core_13",1
"AfAm","parent_child",1,"TPOX","core_13",1.96123775574394
"AfAm","parent_child",1,"vWA","core_13",6.21818181818182
"AfAm","parent_child",2,"CSF1PO","core_13",1.00588235294118
"AfAm","parent_child",2,"D10S1248","core_13",1
"AfAm","parent_child",2,"D12S391","core_13",1
"AfAm","parent_child",2,"D13S317","core_13",3.22641509433963
"AfAm","parent_child",2,"D16S539","core_13",1.22142857142857
"AfAm","parent_child",2,"D18S51","core_13",3.48979591836735
"AfAm","parent_child",2,"D19S433","core_13",1
"AfAm","parent_child",2,"D1S1656","core_13",1
"AfAm","parent_child",2,"D21S11","core_13",3.16666666666667
"AfAm","parent_child",2,"D22S1045","core_13",1
"AfAm","parent_child",2,"D2S1338","core_13",1
"AfAm","parent_child",2,"D2S441","core_13",1
"AfAm","parent_child",2,"D3S1358","core_13",1.96371401455236
"AfAm","parent_child",2,"D5S818","core_13",1.79621848739496
"AfAm","parent_child",2,"D6S1043","core_13",1
"AfAm","parent_child",2,"D7S820","core_13",1.09615384615384
"AfAm","parent_child",2,"D8S1179","core_13",1.99074626865672
"AfAm","parent_child",2,"F13A01","core_13",1
"AfAm","parent_child",2,"F13B","core_13",1
"AfAm","parent_child",2,"FESFPS","core_13",1
"AfAm","parent_child",2,"FGA","core_13",2.51470588235294
"AfAm","parent_child",2,"LPL","core_13",1
"AfAm","parent_child",2,"Penta_C","core_13",1
"AfAm","parent_child",2,"Penta_D","core_13",1
"AfAm","parent_child",2,"Penta_E","core_13",1
"AfAm","parent_child",2,"SE33","core_13",1
"AfAm","parent_child",2,"TH01","core_13",1
