allele,marker,frequency,population
11,D19S433,0,Asian
11,D1S1656,0.0309278350515464,Asian
11,D21S11,0,Asian
11,D22S1045,0.201030927835052,Asian
11,D2S1338,0,Asian
11,D2S441,0.350515463917526,Asian
11,D3S1358,0,Asian
11,D5S818,0.27319587628866,Asian
11,D6S1043,0.149484536082474,Asian
11,D7S820,0.350515463917526,Asian
11,D8S1179,0.118556701030928,Asian
11,F13A01,0,Asian
11,F13B,0.00515463917525773,Asian
11,FESFPS,0.360824742268041,Asian
11,FGA,0,Asian
11,LPL,0.118556701030928,Asian
11,Penta_C,0.314432989690722,Asian
11,Penta_D,0.180412371134021,Asian
11,Penta_E,0.15979381443299,Asian
11,SE33,0,Asian
11,TH01,0,Asian
11,TPOX,0.293814432989691,Asian
11,vWA,0,Asian
11.2,CSF1PO,0,Asian
11.2,D10S1248,0,Asian
11.2,D12S391,0,Asian
11.2,D13S317,0,Asian
11.2,D16S539,0,Asian
11.2,D18S51,0,Asian
11.2,D19S433,0,Asian
11.2,D1S1656,0,Asian
11.2,D21S11,0,Asian
11.2,D22S1045,0,Asian
11.2,D2S1338,0,Asian
11.2,D2S441,0,Asian
11.2,D3S1358,0,Asian
11.2,D5S818,0,Asian
11.2,D6S1043,0,Asian
11.2,D7S820,0,Asian
11.2,D8S1179,0,Asian
11.2,F13A01,0,Asian
11.2,F13B,0,Asian
11.2,FESFPS,0,Asian
11.2,FGA,0,Asian
11.2,LPL,0,Asian
11.2,Penta_C,0,Asian
11.2,Penta_D,0,Asian
11.2,Penta_E,0,Asian
11.2,SE33,0,Asian
11.2,TH01,0,Asian
11.2,TPOX,0,Asian
11.2,vWA,0,Asian
11.3,CSF1PO,0,Asian
11.3,D10S1248,0,Asian
11.3,D12S391,0,Asian
11.3,D13S317,0,Asian
11.3,D16S539,0,Asian
11.3,D18S51,0,Asian
11.3,D19S433,0,Asian
11.3,D1S1656,0,Asian
11.3,D21S11,0,Asian
11.3,D22S1045,0,Asian
11.3,D2S1338,0,Asian
11.3,D2S441,0.0309278350515464,Asian
11.3,D3S1358,0,Asian
11.3,D5S818,0,Asian
11.3,D6S1043,0,Asian
11.3,D7S820,0,Asian
11.3,D8S1179,0,Asian
11.3,F13A01,0,Asian
11.3,F13B,0,Asian
11.3,FESFPS,0,Asian
11.3,FGA,0,Asian
11.3,LPL,0,Asian
11.3,Penta_C,0,Asian
11.3,Penta_D,0,Asian
11.3,Penta_E,0,Asian
11.3,SE33,0,Asian
11.3,TH01,0,Asian
11.3,TPOX,0,Asian
11.3,vWA,0,Asian
12,CSF1PO,0.38659793814433,Asian
12,D10S1248,0.0876288659793814,Asian
12,D12S391,0,Asian
12,D13S317,0.211340206185567,Asian
12,D16S539,0.175257731958763,Asian
12,D18S51,0.0360824742268041,Asian
12,D19S433,0.0360824742268041,Asian
12,D1S1656,0.0463917525773196,Asian
12,D21S11,0,Asian
12,D22S1045,0.00515463917525773,Asian
12,D2S1338,0,Asian
12,D2S441,0.216494845360825,Asian
12,D3S1358,0,Asian
12,D5S818,0.206185567010309,Asian
12,D6S1043,0.123711340206186,Asian
12,D7S820,0.175257731958763,Asian
12,D8S1179,0.118556701030928,Asian
12,F13A01,0,Asian
12,F13B,0,Asian
12,FESFPS,0.309278350515464,Asian
12,FGA,0,Asian
12,LPL,0.211340206185567,Asian
12,Penta_C,0.144329896907216,Asian
12,Penta_D,0.180412371134021,Asian
12,Penta_E,0.0927835051546392,Asian
12,SE33,0,Asian
12,TH01,0,Asian
12,TPOX,0.0463917525773196,Asian
12,vWA,0,Asian
12.2,CSF1PO,0,Asian
12.2,D10S1248,0,Asian
12.2,D12S391,0,Asian
12.2,D13S317,0,Asian
12.2,D16S539,0,Asian
12.2,D18S51,0,Asian
12.2,D19S433,0.0257731958762887,Asian
12.2,D1S1656,0,Asian
12.2,D21S11,0,Asian
12.2,D22S1045,0,Asian
12.2,D2S1338,0,Asian
12.2,D2S441,0,Asian
12.2,D3S1358,0,Asian
12.2,D5S818,0,Asian
12.2,D6S1043,0,Asian
12.2,D7S820,0,Asian
12.2,D8S1179,0,Asian
12.2,F13A01,0,Asian
12.2,F13B,0,Asian
12.2,FESFPS,0,Asian
12.2,FGA,0,Asian
12.2,LPL,0,Asian
12.2,Penta_C,0,Asian
12.2,Penta_D,0,Asian
12.2,Penta_E,0,Asian
12.2,SE33,0,Asian
12.2,TH01,0,Asian
12.2,TPOX,0,Asian
12.2,vWA,0,Asian
12.3,CSF1PO,0,Asian
12.3,D10S1248,0,Asian
12.3,D12S391,0,Asian
12.3,D13S317,0,Asian
12.3,D16S539,0,Asian
12.3,D18S51,0,Asian
12.3,D19S433,0,Asian
12.3,D1S1656,0,Asian
12.3,D21S11,0,Asian
12.3,D22S1045,0,Asian
12.3,D2S1338,0,Asian
12.3,D2S441,0.00515463917525773,Asian
12.3,D3S1358,0,Asian
12.3,D5S818,0,Asian
12.3,D6S1043,0.00515463917525773,Asian
12.3,D7S820,0,Asian
12.3,D8S1179,0,Asian
12.3,F13A01,0,Asian
12.3,F13B,0,Asian
12.3,FESFPS,0,Asian
12.3,FGA,0,Asian
12.3,LPL,0,Asian
12.3,Penta_C,0,Asian
12.3,Penta_D,0,Asian
12.3,Penta_E,0,Asian
12.3,SE33,0,Asian
12.3,TH01,0,Asian
12.3,TPOX,0,Asian
12.3,vWA,0,Asian
13,CSF1PO,0.0876288659793814,Asian
13,D10S1248,0.319587628865979,Asian
13,D12S391,0,Asian
13,D13S317,0.0567010309278351,Asian
13,D16S539,0.0979381443298969,Asian
13,D18S51,0.216494845360825,Asian
13,D19S433,0.283505154639175,Asian
13,D1S1656,0.134020618556701,Asian
13,D21S11,0,Asian
13,D22S1045,0,Asian
13,D2S1338,0,Asian
13,D2S441,0.0257731958762887,Asian
13,D3S1358,0,Asian
13,D5S818,0.15979381443299,Asian
13,D6S1043,0.123711340206186,Asian
13,D7S820,0.0257731958762887,Asian
13,D8S1179,0.201030927835052,Asian
13,F13A01,0,Asian
13,F13B,0,Asian
13,FESFPS,0.195876288659794,Asian
13,FGA,0,Asian
13,LPL,0.0154639175257732,Asian
13,Penta_C,0.0154639175257732,Asian
13,Penta_D,0.103092783505155,Asian
13,Penta_E,0.0515463917525773,Asian
13,SE33,0,Asian
13,TH01,0,Asian
13,TPOX,0,Asian
13,vWA,0,Asian
13.2,CSF1PO,0,Asian
13.2,D10S1248,0,Asian
13.2,D12S391,0,Asian
13.2,D13S317,0,Asian
13.2,D16S539,0,Asian
13.2,D18S51,0,Asian
13.2,D19S433,0.0206185567010309,Asian
13.2,D1S1656,0,Asian
13.2,D21S11,0,Asian
13.2,D22S1045,0,Asian
13.2,D2S1338,0,Asian
13.2,D2S441,0,Asian
13.2,D3S1358,0,Asian
13.2,D5S818,0,Asian
13.2,D6S1043,0,Asian
13.2,D7S820,0,Asian
13.2,D8S1179,0,Asian
13.2,F13A01,0,Asian
13.2,F13B,0,Asian
13.2,FESFPS,0,Asian
13.2,FGA,0,Asian
13.2,LPL,0,Asian
13.2,Penta_C,0,Asian
13.2,Penta_D,0,Asian
13.2,Penta_E,0,Asian
13.2,SE33,0,Asian
13.2,TH01,0,Asian
13.2,TPOX,0,Asian
13.2,vWA,0,Asian
13.3,CSF1PO,0,Asian
13.3,D10S1248,0,Asian
13.3,D12S391,0,Asian
13.3,D13S317,0,Asian
13.3,D16S539,0,Asian
13.3,D18S51,0,Asian
13.3,D19S433,0,Asian
13.3,D1S1656,0,Asian
13.3,D21S11,0,Asian
13.3,D22S1045,0,Asian
13.3,D2S1338,0,Asian
13.3,D2S441,0,Asian
13.3,D3S1358,0,Asian
13.3,D5S818,0,Asian
13.3,D6S1043,0,Asian
13.3,D7S820,0,Asian
13.3,D8S1179,0,Asian
13.3,F13A01,0,Asian
13.3,F13B,0,Asian
13.3,FESFPS,0,Asian
13.3,FGA,0,Asian
13.3,LPL,0,Asian
13.3,Penta_C,0,Asian
13.3,Penta_D,0,Asian
13.3,Penta_E,0,Asian
13.3,SE33,0,Asian
13.3,TH01,0,Asian
13.3,TPOX,0,Asian
13.3,vWA,0,Asian
13.4,CSF1PO,0,Asian
13.4,D10S1248,0,Asian
13.4,D12S391,0,Asian
13.4,D13S317,0,Asian
13.4,D16S539,0,Asian
13.4,D18S51,0,Asian
13.4,D19S433,0,Asian
