"population","relationship_type","sim_id","loci_set","combined_LR"
"Cauc","unrelated",5,"core_13",1
"Cauc","unrelated",5,"identifiler_15",1
"Cauc","unrelated",5,"expanded_20",1
"Cauc","unrelated",5,"supplementary",1
"Cauc","unrelated",5,"autosomal_29",1
"Hispanic","cousins",1,"core_13",0.944315545087955
"Hispanic","cousins",1,"identifiler_15",0.722991589207966
"Hispanic","cousins",1,"expanded_20",0.919500371056016
"Hispanic","cousins",1,"supplementary",0.863228863973161
"Hispanic","cousins",1,"autosomal_29",0.593824219423619
"Hispanic","cousins",2,"core_13",0.670215903907636
"Hispanic","cousins",2,"identifiler_15",0.513134051429283
"Hispanic","cousins",2,"expanded_20",0.64669762690572
"Hispanic","cousins",2,"supplementary",0.43323688677473
"Hispanic","cousins",2,"autosomal_29",0.357637784098223
"Hispanic","full_siblings",1,"core_13",119.250981032465
"Hispanic","full_siblings",1,"identifiler_15",159.474384539897
"Hispanic","full_siblings",1,"expanded_20",203.588974445499
"Hispanic","full_siblings",1,"supplementary",867.685498570134
"Hispanic","full_siblings",1,"autosomal_29",4667.2011942744
"Hispanic","full_siblings",2,"core_13",31.0902945476757
"Hispanic","full_siblings",2,"identifiler_15",95.3813279575343
"Hispanic","full_siblings",2,"expanded_20",5626.97523431946
"Hispanic","full_siblings",2,"supplementary",2598248.56736221
"Hispanic","full_siblings",2,"autosomal_29",144145256.34033
"Hispanic","half_siblings",1,"core_13",19.2782007023626
"Hispanic","half_siblings",1,"identifiler_15",91.89254958704
"Hispanic","half_siblings",1,"expanded_20",18.8983183490427
"Hispanic","half_siblings",1,"supplementary",800.849895764228
"Hispanic","half_siblings",1,"autosomal_29",1244.91169451954
"Hispanic","half_siblings",2,"core_13",521.097955173836
"Hispanic","half_siblings",2,"identifiler_15",423.081911224472
"Hispanic","half_siblings",2,"expanded_20",1076.00578708032
"Hispanic","half_siblings",2,"supplementary",11511.1835515325
"Hispanic","half_siblings",2,"autosomal_29",42974.912382798
"Hispanic","parent_child",1,"core_13",7810.58810117006
"Hispanic","parent_child",1,"identifiler_15",24119.4563585477
"Hispanic","parent_child",1,"expanded_20",13921998.0099236
"Hispanic","parent_child",1,"supplementary",2054235505.41987
"Hispanic","parent_child",1,"autosomal_29",8939540919455.09
"Hispanic","parent_child",2,"core_13",47417.2928119754
"Hispanic","parent_child",2,"identifiler_15",263568.217610356
"Hispanic","parent_child",2,"expanded_20",18738628432.0437
"Hispanic","parent_child",2,"supplementary",972149537633.619
"Hispanic","parent_child",2,"autosomal_29",26875426500057.8
"Hispanic","second_cousins",1,"core_13",0.987390331816904
"Hispanic","second_cousins",1,"identifiler_15",0.908703045596372
"Hispanic","second_cousins",1,"expanded_20",1.11795928764391
"Hispanic","second_cousins",1,"supplementary",1.21221400062003
"Hispanic","second_cousins",1,"autosomal_29",1.08917910927287
"Hispanic","second_cousins",2,"core_13",1.1739056604844
"Hispanic","second_cousins",2,"identifiler_15",1.25111672746938
"Hispanic","second_cousins",2,"expanded_20",1.30445144737452
"Hispanic","second_cousins",2,"supplementary",1.45024544494012
"Hispanic","second_cousins",2,"autosomal_29",2.08131611552355
"Hispanic","unrelated",1,"core_13",1
"Hispanic","unrelated",1,"identifiler_15",1
"Hispanic","unrelated",1,"expanded_20",1
"Hispanic","unrelated",1,"supplementary",1
"Hispanic","unrelated",1,"autosomal_29",1
"Hispanic","unrelated",2,"core_13",1
"Hispanic","unrelated",2,"identifiler_15",1
"Hispanic","unrelated",2,"expanded_20",1
"Hispanic","unrelated",2,"supplementary",1
"Hispanic","unrelated",2,"autosomal_29",1
"Hispanic","unrelated",3,"core_13",1
"Hispanic","unrelated",3,"identifiler_15",1
"Hispanic","unrelated",3,"expanded_20",1
"Hispanic","unrelated",3,"supplementary",1
"Hispanic","unrelated",3,"autosomal_29",1
"Hispanic","unrelated",4,"core_13",1
"Hispanic","unrelated",4,"identifiler_15",1
"Hispanic","unrelated",4,"expanded_20",1
"Hispanic","unrelated",4,"supplementary",1
"Hispanic","unrelated",4,"autosomal_29",1
"Hispanic","unrelated",5,"core_13",1
