ID1	POP1	ID2	POP2	IBD_CM_SUM
HG01082	PUR	HG01308	PUR	34.45969
HG00113	GBR	HG00120	GBR	38.55623
HG00150	GBR	HG00238	GBR	5.175629
HG02645	GWD	HG02667	GWD	33.56895
HG00189	FIN	HG00335	FIN	16.77182
NA19390	LWK	NA19443	LWK	73.43089
HG01596	KHV	HG01850	KHV	6.898109
HG01083	PUR	HG01395	PUR	48.56596
HG00638	PUR	HG01248	PUR	16.35806
HG00671	CHS	HG00672	CHS	62.39154
NA10851	CEU	NA12347	CEU	5.273079
HG00285	FIN	HG00365	FIN	15.53873
HG01082	PUR	HG01242	PUR	13.1839
HG01148	CLM	HG01350	CLM	93.44599
HG00186	FIN	HG00341	FIN	5.312714
HG02360	CDX	HG02375	CDX	5.260162
NA19403	LWK	NA19404	LWK	12.67964
HG03963	ITU	HG03971	ITU	5.052681
HG01205	PUR	HG01353	CLM	5.739258
HG01148	CLM	HG01357	CLM	25.8813
NA19390	LWK	NA19435	LWK	6.304653
NA21093	GIH	NA21137	GIH	22.33237
HG01393	PUR	HG01402	PUR	41.94922
HG01134	CLM	HG01148	CLM	18.61385
HG01861	KHV	HG02142	KHV	5.453228
HG00186	FIN	HG00361	FIN	19.86317
HG00186	FIN	HG00358	FIN	22.88485
HG01083	PUR	HG01197	PUR	36.13641
HG01968	PEL	HG02147	PEL	5.001589
HG00186	FIN	HG00329	FIN	18.65793
HG01148	CLM	HG01438	CLM	27.43329
HG00189	FIN	HG00376	FIN	17.13779
HG01082	PUR	HG01102	PUR	67.99516
HG00324	FIN	HG00373	FIN	30.94253
HG03681	STU	HG03850	STU	5.615005
HG00189	FIN	HG00383	FIN	18.92305
HG00638	PUR	HG01412	PUR	29.3564
NA19649	MXL	NA19779	MXL	87.03964
HG01384	CLM	HG01437	CLM	37.99407
HG01148	CLM	HG01257	CLM	22.89328
HG00638	PUR	HG01190	PUR	6.212986
HG00285	FIN	HG00356	FIN	39.199
HG00334	FIN	HG00362	FIN	22.55058
HG01384	CLM	HG01551	CLM	8.510941
HG00189	FIN	HG00339	FIN	17.24516
HG01205	PUR	HG01357	CLM	5.107513
HG00638	PUR	HG01176	PUR	29.76694
HG00285	FIN	HG00337	FIN	15.47598
HG01205	PUR	HG01326	PUR	29.07231
HG03681	STU	HG04047	STU	7.211578
