allele,marker,frequency,population
10.3,D2S1338,0,AfAm
10.3,D2S441,0,AfAm
10.3,D3S1358,0,AfAm
10.3,D5S818,0,AfAm
10.3,D6S1043,0,AfAm
10.3,D7S820,0,AfAm
10.3,D8S1179,0,AfAm
10.3,F13A01,0,AfAm
10.3,F13B,0,AfAm
10.3,FESFPS,0.0423976608187134,AfAm
10.3,FGA,0,AfAm
10.3,LPL,0,AfAm
10.3,Penta_C,0,AfAm
10.3,Penta_D,0,AfAm
10.3,Penta_E,0,AfAm
10.3,SE33,0,AfAm
10.3,TH01,0,AfAm
10.3,TPOX,0,AfAm
10.3,vWA,0,AfAm
11,CSF1PO,0.248538011695906,AfAm
11,D10S1248,0.0350877192982456,AfAm
11,D12S391,0,AfAm
11,D13S317,0.309941520467836,AfAm
11,D16S539,0.314327485380117,AfAm
11,D18S51,0.00146198830409357,AfAm
11,D19S433,0.0628654970760234,AfAm
11,D1S1656,0.0453216374269006,AfAm
11,D21S11,0,AfAm
11,D22S1045,0.144736842105263,AfAm
11,D2S1338,0,AfAm
11,D2S441,0.362573099415205,AfAm
11,D3S1358,0,AfAm
11,D5S818,0.233918128654971,AfAm
11,D6S1043,0.153508771929825,AfAm
11,D7S820,0.203216374269006,AfAm
11,D8S1179,0.0526315789473684,AfAm
11,F13A01,0.00730994152046784,AfAm
11,F13B,0.00292397660818713,AfAm
11,FESFPS,0.327485380116959,AfAm
11,FGA,0,AfAm
11,LPL,0.124269005847953,AfAm
11,Penta_C,0.277777777777778,AfAm
11,Penta_D,0.179824561403509,AfAm
11,Penta_E,0.064327485380117,AfAm
11,SE33,0,AfAm
11,TH01,0,AfAm
11,TPOX,0.215542521994135,AfAm
11,vWA,0.00292397660818713,AfAm
11.2,CSF1PO,0,AfAm
11.2,D10S1248,0,AfAm
11.2,D12S391,0,AfAm
11.2,D13S317,0,AfAm
11.2,D16S539,0,AfAm
11.2,D18S51,0,AfAm
11.2,D19S433,0,AfAm
11.2,D1S1656,0,AfAm
11.2,D21S11,0,AfAm
11.2,D22S1045,0,AfAm
11.2,D2S1338,0,AfAm
11.2,D2S441,0,AfAm
11.2,D3S1358,0,AfAm
11.2,D5S818,0,AfAm
11.2,D6S1043,0,AfAm
