"","n_sibs","n_half_sibs","n_first_degree","n_second_degree","n_third_degree"
"556",8,0,13,23,10
"557",0,0,5,8,12
"558",0,0,8,1,1
"559",0,0,3,6,13
"560",4,0,6,16,3
"561",5,0,7,25,11
"562",0,0,10,6,23
"563",2,0,13,5,23
"564",3,0,6,10,33
"565",4,0,6,21,11
"566",1,0,3,10,7
"567",2,0,5,6,17
"568",5,0,11,16,21
"569",1,0,11,16,52
"570",0,0,6,5,6
"571",2,0,6,10,41
"572",10,0,13,29,25
"573",3,0,6,14,2
"574",3,0,7,14,14
"575",0,0,3,2,8
"576",3,0,7,9,0
"577",0,0,3,4,17
"578",1,0,3,8,11
"579",2,0,6,3,0
"580",5,0,19,25,8
"581",6,0,12,28,7
"582",7,0,13,15,6
"583",1,0,3,6,1
"584",3,0,6,18,10
"585",0,0,2,0,0
"586",5,0,7,20,4
"587",1,0,8,6,0
"588",2,0,13,22,17
"589",1,0,6,0,0
"590",1,0,4,1,5
"591",9,0,15,28,5
"592",8,0,11,32,4
"593",2,0,6,18,27
"594",2,0,11,19,46
"595",10,0,12,43,0
"596",2,0,4,8,3
"597",2,0,8,12,41
"598",0,0,10,8,15
"599",2,0,7,17,28
"600",9,0,15,27,18
"601",0,0,2,0,0
"602",2,0,7,9,21
"603",5,0,10,12,1
"604",1,0,5,2,0
"605",11,0,17,25,4
"606",2,0,4,15,14
"607",1,0,5,12,27
"608",2,0,6,6,0
"609",2,0,7,20,26
"610",2,0,4,22,12
"611",2,0,5,12,12
"612",3,0,5,7,10
"613",1,0,5,8,6
"614",2,0,7,8,0
"615",5,0,10,26,28
"616",0,0,2,8,9
"617",3,0,5,8,16
"618",0,0,4,2,3
"619",0,0,8,4,11
"620",1,0,5,14,20
"621",0,0,6,9,24
"622",2,0,7,14,20
"623",6,0,8,20,17
"624",3,0,5,11,13
"625",0,0,7,8,20
"626",1,0,3,7,9
"627",3,0,6,18,31
"628",0,0,6,1,1
"629",1,0,7,8,16
"630",2,0,6,1,3
"631",1,0,3,6,18
"632",1,0,3,5,26
"633",2,0,6,14,12
"634",5,0,7,20,3
"635",1,0,3,5,0
"636",3,0,5,16,15
"637",4,0,10,16,17
"638",0,0,9,6,23
"639",3,0,6,13,14
"640",1,0,8,9,20
"641",1,0,4,5,1
"642",2,0,9,15,16
"643",1,0,7,5,10
"644",2,0,5,10,19
"645",4,0,8,7,0
"646",2,0,4,3,1
"647",3,0,7,12,13
"648",4,0,11,10,2
"649",0,0,2,4,10
"650",0,0,7,8,33
"651",1,0,3,0,0
"652",0,0,3,7,23
"653",4,0,6,11,4
"654",0,0,4,3,3
"655",2,0,6,13,27
"656",5,0,10,13,0
"657",6,0,8,14,4
"658",7,0,12,10,0
"659",2,0,7,8,0
"660",3,0,10,12,3
"661",1,0,5,9,13
"662",6,0,13,18,6
"663",0,0,3,0,0
"664",9,0,14,32,15
"665",0,0,8,5,14
"666",6,0,12,22,20
"667",5,0,7,12,7
"668",0,0,4,9,32
"669",4,0,8,23,15
"670",3,0,5,9,1
"671",4,0,12,19,13
"672",0,0,2,5,19
"673",1,0,11,9,6
"674",2,0,6,15,15
"675",3,0,7,13,16
"676",1,0,6,2,4
"677",2,0,5,7,9
"678",2,0,10,9,12
"679",0,0,9,6,13
"680",6,0,8,22,14
"681",5,0,8,14,3
"682",1,0,5,9,12
"683",5,0,8,17,7
"684",4,0,6,21,19
"685",3,0,7,11,14
"686",2,0,6,6,15
"687",2,0,5,8,8
"688",1,0,7,14,20
"689",3,0,7,15,16
"690",0,0,2,7,20
"691",4,0,8,27,13
"692",2,0,6,5,2
"693",4,0,8,12,8
"694",2,0,4,3,2
"695",3,0,6,16,1
"696",1,0,4,10,2
"697",3,0,14,11,19
"698",2,0,5,16,20
"699",3,0,9,18,32
"700",4,0,6,14,7
"701",0,0,3,2,3
"702",4,0,9,26,22
"703",2,0,5,11,7
"704",4,0,6,19,6
"705",1,0,5,29,69
"706",0,0,9,6,15
"707",9,0,11,37,34
"708",0,0,8,0,0
"709",1,0,5,8,15
"710",1,0,9,7,13
"711",4,0,9,21,17
"712",3,0,8,13,18
"713",1,0,7,9,15
"714",11,0,13,52,12
"715",3,0,7,13,26
"716",3,0,6,7,8
"717",7,0,26,35,48
"718",0,0,9,9,16
"719",3,0,7,13,50
"720",1,0,6,6,16
"721",8,0,18,31,2
"722",4,0,9,19,11
"723",0,0,4,5,8
"724",1,0,3,15,13
"725",2,0,4,13,6
"726",1,0,7,7,9
"727",2,0,9,9,22
"728",0,0,5,12,45
"729",2,0,9,4,0
"730",0,0,9,7,15
"731",2,0,11,8,16
"732",0,0,5,2,2
"733",1,0,3,10,17
"734",0,0,5,7,21
"735",2,0,9,2,2
"736",3,0,6,15,11
"737",2,0,11,10,5
"738",1,0,3,6,16
"739",0,0,3,5,9
"740",8,0,12,19,11
"741",4,0,8,11,13
"742",4,0,8,24,23
"743",1,0,6,8,18
