Allele,Marker,Frequency,Population,Sample_Size
PI,...28,0.1361462429588692,"1036 revised Asian,",=97
PI,...29,0.21224359655648842,"1036 revised Asian,",=97
PI,...30,0.08853225635030289,"1036 revised Asian,",=97
PPE,...2,0.5350754570810761,"1036 revised Asian,",=97
PPE,...3,0.5618942080470425,"1036 revised Asian,",=97
PPE,...4,0.6848841076351682,"1036 revised Asian,",=97
PPE,...5,0.6069474025879397,"1036 revised Asian,",=97
PPE,...6,0.557996895906625,"1036 revised Asian,",=97
PPE,...7,0.6806955353315168,"1036 revised Asian,",=97
PPE,...8,0.6134511305559183,"1036 revised Asian,",=97
PPE,...9,0.691553266409716,"1036 revised Asian,",=97
PPE,...10,0.6439764378795477,"1036 revised Asian,",=97
PPE,...11,0.5349885947374777,"1036 revised Asian,",=97
PPE,...12,0.7382198191861516,"1036 revised Asian,",=97
PPE,...13,0.5259107683043798,"1036 revised Asian,",=97
PPE,...14,0.46133046262731775,"1036 revised Asian,",=97
PPE,...15,0.5958025938697239,"1036 revised Asian,",=97
PPE,...16,0.7562369118911809,"1036 revised Asian,",=97
PPE,...17,0.5361073140265693,"1036 revised Asian,",=97
PPE,...18,0.6976018409110187,"1036 revised Asian,",=97
PPE,...19,0.38721449181858125,"1036 revised Asian,",=97
PPE,...20,0.2191121089156468,"1036 revised Asian,",=97
PPE,...21,0.48546090883341586,"1036 revised Asian,",=97
PPE,...22,0.6993774881697925,"1036 revised Asian,",=97
PPE,...23,0.29151086780297586,"1036 revised Asian,",=97
PPE,...24,0.5234837124362358,"1036 revised Asian,",=97
PPE,...25,0.5908280547040399,"1036 revised Asian,",=97
PPE,...26,0.8346662301994306,"1036 revised Asian,",=97
PPE,...27,0.8767210231567862,"1036 revised Asian,",=97
PPE,...28,0.45350441139361736,"1036 revised Asian,",=97
PPE,...29,0.3525455003625461,"1036 revised Asian,",=97
PPE,...30,0.5871887054771912,"1036 revised Asian,",=97
HWE,...2,0.339375,"1036 revised Asian,",=97
HWE,...3,0.625,"1036 revised Asian,",=97
HWE,...4,0.854688,"1036 revised Asian,",=97
HWE,...5,0.215,"1036 revised Asian,",=97
HWE,...6,0.569688,"1036 revised Asian,",=97
HWE,...7,0.935,"1036 revised Asian,",=97
HWE,...8,0.333125,"1036 revised Asian,",=97
HWE,...9,0.615,"1036 revised Asian,",=97
HWE,...10,0.855938,"1036 revised Asian,",=97
HWE,...11,0.025625,"1036 revised Asian,",=97
HWE,...12,0.1675,"1036 revised Asian,",=97
HWE,...13,0.444063,"1036 revised Asian,",=97
HWE,...14,0.49156300000000003,"1036 revised Asian,",=97
HWE,...15,0.520625,"1036 revised Asian,",=97
HWE,...16,0.43875,"1036 revised Asian,",=97
HWE,...17,0.340313,"1036 revised Asian,",=97
HWE,...18,0.55125,"1036 revised Asian,",=97
HWE,...19,0.160312,"1036 revised Asian,",=97
HWE,...20,0.062812,"1036 revised Asian,",=97
HWE,...21,0.095312,"1036 revised Asian,",=97
HWE,...22,0.072813,"1036 revised Asian,",=97
HWE,...23,0.213438,"1036 revised Asian,",=97
HWE,...24,0.395625,"1036 revised Asian,",=97
HWE,...25,0.551562,"1036 revised Asian,",=97
HWE,...26,0.795,"1036 revised Asian,",=97
HWE,...27,0.009062,"1036 revised Asian,",=97
HWE,...28,0.808438,"1036 revised Asian,",=97
HWE,...29,0.979062,"1036 revised Asian,",=97
HWE,...30,0.093438,"1036 revised Asian,",=97
