Allele,Marker,Frequency,Population,Sample_Size
16,...27,0.06991525423728813,"1036 revised Hispanic,",=236
16,...30,0.2838983050847458,"1036 revised Hispanic,",=236
16.2,...8,0.02754237288135593,"1036 revised Hispanic,",=236
16.3,...9,0.05084745762711865,"1036 revised Hispanic,",=236
16.3,...27,0.00423728813559322,"1036 revised Hispanic,",=236
17,...3,0.025423728813559324,"1036 revised Hispanic,",=236
17,...4,0.07627118644067797,"1036 revised Hispanic,",=236
17,...7,0.125,"1036 revised Hispanic,",=236
17,...9,0.0423728813559322,"1036 revised Hispanic,",=236
17,...11,0.09110169491525423,"1036 revised Hispanic,",=236
17,...12,0.1694915254237288,"1036 revised Hispanic,",=236
17,...13,0.00211864406779661,"1036 revised Hispanic,",=236
17,...14,0.1843220338983051,"1036 revised Hispanic,",=236
17,...16,0.048728813559322036,"1036 revised Hispanic,",=236
17,...18,0.00423728813559322,"1036 revised Hispanic,",=236
17,...19,0.00211864406779661,"1036 revised Hispanic,",=236
17,...22,0.00211864406779661,"1036 revised Hispanic,",=236
17,...25,0.002127659574468085,"1036 revised Hispanic,",=236
17,...26,0.05508474576271186,"1036 revised Hispanic,",=236
17,...27,0.07627118644067797,"1036 revised Hispanic,",=236
17,...30,0.2457627118644068,"1036 revised Hispanic,",=236
17.3,...4,0.01694915254237288,"1036 revised Hispanic,",=236
17.3,...9,0.1483050847457627,"1036 revised Hispanic,",=236
17.3,...27,0.00423728813559322,"1036 revised Hispanic,",=236
18,...3,0.00211864406779661,"1036 revised Hispanic,",=236
18,...4,0.17796610169491525,"1036 revised Hispanic,",=236
18,...7,0.07838983050847458,"1036 revised Hispanic,",=236
18,...9,0.006355932203389831,"1036 revised Hispanic,",=236
18,...11,0.006355932203389831,"1036 revised Hispanic,",=236
18,...12,0.08050847457627118,"1036 revised Hispanic,",=236
18,...14,0.1228813559322034,"1036 revised Hispanic,",=236
18,...16,0.10805084745762712,"1036 revised Hispanic,",=236
18,...18,0.00211864406779661,"1036 revised Hispanic,",=236
18,...22,0.012711864406779662,"1036 revised Hispanic,",=236
18,...26,0.03389830508474576,"1036 revised Hispanic,",=236
18,...27,0.11016949152542373,"1036 revised Hispanic,",=236
18,...30,0.18008474576271186,"1036 revised Hispanic,",=236
